channels,fitness,val_acc,train_acc,val_loss,train_loss,params,flops,params_ratio,flops_ratio,params_compression_rate,flops_reduction_rate,below_baseline_short_by,penalty,eval_time_sec,epochs,inherited
16-12-12-12-12-24-20-20-24-28-48-40-48-40-56,-429.876126639281,10.519999938964844,16.159999963378905,3.3849296966552735,4.2173075748443605,246186,39555632,0.5303972388474515,0.5744139285375723,0.4696027611525485,0.42558607146242766,86.40000021972656,432.0000010986328,0.35124683380126953,1,True
16-16-16-12-16-20-20-28-28-24-56-56-40-48-48,-438.3048959473821,9.400000091552734,15.449999960327148,6.993128161621094,4.286733460998535,285546,48402912,0.6151966804121046,0.702891230118088,0.3848033195878954,0.29710876988191204,87.52000006713868,437.6000003356934,4.632330656051636,1,True
12-12-12-16-12-24-28-24-32-28-56-40-56-64-48,-432.0723041879136,10.48000004272461,14.250000009155274,2.4779290992736818,3.5606753982543946,323670,47278560,0.6973332126837214,0.6865637587385616,0.3026667873162786,0.31343624126143843,86.4400001159668,432.20000057983395,2.076685667037964,1,True
12-16-16-12-16-28-24-32-32-24-48-40-48-48-48,-432.18715436093623,10.399999987792969,12.730000210571289,2.3869671825408934,4.563338493347168,273622,48476640,0.5895069308893169,0.7039618839790405,0.41049306911068306,0.29603811602095953,86.52000017089844,432.60000085449224,0.3488178253173828,1,True
12-12-12-16-12-24-28-24-28-28-40-40-48-56-56,-432.58334589318576,10.220000028991699,14.720000204467773,2.465769053649902,4.349320901870728,276982,43518512,0.5967459076082507,0.6319615735637717,0.40325409239174925,0.3680384264362283,86.7000001296997,433.5000006484985,2.1034929752349854,1,True
16-12-12-16-12-24-32-24-24-20-56-48-48-64-40,-410.359834958457,14.039999964904785,13.24000009765625,2.354976944732666,3.851318497848511,300890,46541200,0.6482546740952356,0.675856058395246,0.35174532590476437,0.324143941604754,82.88000019378663,414.4000009689331,0.3603782653808594,1,True
12-12-16-12-16-20-32-24-20-28-48-40-48-48-64,-430.6654484554488,10.559999938964843,12.600000061035157,2.4517126094818114,4.175164728164673,281110,44053120,0.6056395075772265,0.6397249757894679,0.3943604924227735,0.36027502421053215,86.36000021972657,431.80000109863283,0.35482358932495117,1,True
16-16-16-16-16-32-32-24-24-20-48-56-48-64-56,-368.7449421407059,21.279999911499022,18.279999792480467,3.157990613937378,4.398842593765258,340362,56181296,0.7332954148838532,0.8158463741823717,0.2667045851161468,0.18415362581762829,75.64000024719239,378.20000123596196,0.3366074562072754,1,True
16-12-12-12-12-24-28-24-28-24-56-56-40-56-64,-431.37316324979207,10.579999946594238,18.810000216674805,7.900556910705566,4.677549399185181,323658,46596736,0.6973073591954394,0.6766625339923307,0.3026926408045606,0.3233374660076693,86.34000021209717,431.7000010604858,0.34664201736450195,1,True
16-16-16-16-16-32-32-28-20-24-56-56-48-48-56,-352.59923096445095,23.940000146484376,17.409999938964845,2.6516475624084475,4.665936324691772,327098,55886384,0.7047186925029193,0.8115637587385616,0.2952813074970807,0.18843624126143843,72.98000001220703,364.90000006103514,0.3316843509674072,1,True
12-12-12-16-16-28-32-28-20-28-48-40-48-64-64,-419.4878039590045,12.620000048828125,13.109999967956544,4.1005481994628905,4.165644130706787,324278,48992896,0.6986431227566713,0.7114587844732885,0.3013568772433287,0.2885412155267115,84.30000010986328,421.5000005493164,0.35243821144104004,1,True
16-16-16-12-16-28-32-32-20-24-48-56-48-56-48,-440.8637933592805,9.140000064086914,16.580000122070313,3.194039862060547,3.999980728530884,315162,53084640,0.6790030894918497,0.7708777502885746,0.32099691050815027,0.22912224971142536,87.78000009460449,438.90000047302243,0.337831974029541,1,True
16-12-16-16-16-32-28-28-24-20-48-40-48-64-56,-434.5441129724214,10.160000001525878,14.819999905395507,2.8178164043426515,4.651635321044922,310042,52089392,0.6679722678249029,0.7564250848995053,0.33202773217509707,0.24357491510049467,86.76000015716554,433.8000007858277,0.33999156951904297,1,True
16-16-12-16-12-32-32-24-20-20-48-56-48-64-56,-407.54021856767406,14.68000002746582,15.660000039672852,3.237720796585083,4.501946675109863,332250,51241520,0.7158184568052844,0.7441125654985511,0.28418154319471556,0.2558874345014489,82.24000013122559,411.20000065612794,0.34671616554260254,1,True
16-12-16-12-16-32-32-24-20-24-48-56-48-56-56,-437.6849437152012,9.620000056457519,14.67999994506836,2.5125437339782715,4.53831674041748,320714,50614832,0.6909646367369451,0.7350120076804544,0.3090353632630549,0.2649879923195456,87.3000001022339,436.50000051116945,0.3468022346496582,1,True
