feature,pcc,abs_pcc,rank,selected,scenario,case,source_battery,target_battery
temp_rise,0.9481468284947814,0.9481468284947814,19,False,B_chrono_B0006_first60_last40,B,B0006,B0006
temp_end,0.9242496526204069,0.9242496526204069,20,False,B_chrono_B0006_first60_last40,B,B0006,B0006
voltage_end,-0.914229454374732,0.914229454374732,21,False,B_chrono_B0006_first60_last40,B,B0006,B0006
voltage_slope,-0.9010133266330391,0.9010133266330391,22,False,B_chrono_B0006_first60_last40,B,B0006,B0006
time_to_4p0v_s,0.8322187569604732,0.8322187569604732,23,False,B_chrono_B0006_first60_last40,B,B0006,B0006
time_to_4p1v_s,0.8235546173157764,0.8235546173157764,24,False,B_chrono_B0006_first60_last40,B,B0006,B0006
temp_range,-0.7593497904050202,0.7593497904050202,25,False,B_chrono_B0006_first60_last40,B,B0006,B0006
temp_at_75pct_time,-0.7531476885603509,0.7531476885603509,26,False,B_chrono_B0006_first60_last40,B,B0006,B0006
voltage_std,-0.7319242652899042,0.7319242652899042,27,False,B_chrono_B0006_first60_last40,B,B0006,B0006
temp_max,-0.5264296392825444,0.5264296392825444,28,False,B_chrono_B0006_first60_last40,B,B0006,B0006
temp_mean,-0.4673535045993232,0.4673535045993232,29,False,B_chrono_B0006_first60_last40,B,B0006,B0006
temp_min,0.38917636158942664,0.38917636158942664,30,False,B_chrono_B0006_first60_last40,B,B0006,B0006
temp_start,0.3880960925193674,0.3880960925193674,31,False,B_chrono_B0006_first60_last40,B,B0006,B0006
temp_at_50pct_time,-0.38392742569711075,0.38392742569711075,32,False,B_chrono_B0006_first60_last40,B,B0006,B0006
voltage_min,-0.3573663224682154,0.3573663224682154,33,False,B_chrono_B0006_first60_last40,B,B0006,B0006
voltage_max,-0.30309776255685483,0.30309776255685483,34,False,B_chrono_B0006_first60_last40,B,B0006,B0006
voltage_start,-0.2979065863832798,0.2979065863832798,35,False,B_chrono_B0006_first60_last40,B,B0006,B0006
temp_at_25pct_time,0.2932480870667085,0.2932480870667085,36,False,B_chrono_B0006_first60_last40,B,B0006,B0006
early_temp_mean,0.1682495597550543,0.1682495597550543,37,False,B_chrono_B0006_first60_last40,B,B0006,B0006
ambient_temperature,0.0,0.0,38,False,B_chrono_B0006_first60_last40,B,B0006,B0006
time_to_3p6v_s,0.9939648910442849,0.9939648910442849,1,True,B_chrono_B0007_first60_last40,B,B0007,B0007
time_to_3p7v_s,0.989879259062992,0.989879259062992,2,True,B_chrono_B0007_first60_last40,B,B0007,B0007
early_voltage_slope,0.9894738893144851,0.9894738893144851,3,True,B_chrono_B0007_first60_last40,B,B0007,B0007
time_to_3p5v_s,0.9866318120691184,0.9866318120691184,4,True,B_chrono_B0007_first60_last40,B,B0007,B0007
global_cycle_index,-0.9619516176850941,0.9619516176850941,5,True,B_chrono_B0007_first60_last40,B,B0007,B0007
cycle_index,-0.9478629466598241,0.9478629466598241,6,True,B_chrono_B0007_first60_last40,B,B0007,B0007
duration_s,0.9206090621657056,0.9206090621657056,7,True,B_chrono_B0007_first60_last40,B,B0007,B0007
time_to_3p8v_s,0.9077030699468004,0.9077030699468004,8,True,B_chrono_B0007_first60_last40,B,B0007,B0007
time_to_4p0v_s,0.9061240736664637,0.9061240736664637,9,False,B_chrono_B0007_first60_last40,B,B0007,B0007
voltage_at_25pct_time,0.8638925502196568,0.8638925502196568,10,False,B_chrono_B0007_first60_last40,B,B0007,B0007
voltage_at_50pct_time,0.8441916033493634,0.8441916033493634,11,False,B_chrono_B0007_first60_last40,B,B0007,B0007
time_to_3p9v_s,0.8376081504999181,0.8376081504999181,12,False,B_chrono_B0007_first60_last40,B,B0007,B0007
early_voltage_mean,0.800590919980831,0.800590919980831,13,False,B_chrono_B0007_first60_last40,B,B0007,B0007
voltage_at_75pct_time,0.7802315218414972,0.7802315218414972,14,False,B_chrono_B0007_first60_last40,B,B0007,B0007
time_to_4p1v_s,0.7171371141229755,0.7171371141229755,15,False,B_chrono_B0007_first60_last40,B,B0007,B0007
temp_range,-0.7161652085587955,0.7161652085587955,16,False,B_chrono_B0007_first60_last40,B,B0007,B0007
voltage_mean,0.6856119882836247,0.6856119882836247,17,False,B_chrono_B0007_first60_last40,B,B0007,B0007
voltage_start,-0.5601713695274574,0.5601713695274574,18,False,B_chrono_B0007_first60_last40,B,B0007,B0007
voltage_max,-0.5546686677388809,0.5546686677388809,19,False,B_chrono_B0007_first60_last40,B,B0007,B0007
temp_rise,-0.5437862307588064,0.5437862307588064,20,False,B_chrono_B0007_first60_last40,B,B0007,B0007
voltage_end,-0.48078254935215703,0.48078254935215703,21,False,B_chrono_B0007_first60_last40,B,B0007,B0007
voltage_min,-0.4761394484847998,0.4761394484847998,22,False,B_chrono_B0007_first60_last40,B,B0007,B0007
temp_end,-0.42662516643032966,0.42662516643032966,23,False,B_chrono_B0007_first60_last40,B,B0007,B0007
temp_max,-0.4198868633121647,0.4198868633121647,24,False,B_chrono_B0007_first60_last40,B,B0007,B0007
