channels,fitness,val_acc,train_acc,val_loss,train_loss,params,flops,params_ratio,flops_ratio,params_compression_rate,flops_reduction_rate,below_baseline_short_by,penalty,eval_time_sec,epochs,inherited
16-8-8-8-12-24-28-20-24-24-56-56-32-48-64,-429.92363860012574,10.599999797058105,18.90999932556152,2.4434039569854735,4.388534768676758,284202,38302336,0.6123010897245311,0.5562139746351691,0.3876989102754689,0.4437860253648309,86.3799986404419,431.8999932022095,3.2068746089935303,1,True
12-12-12-12-12-16-28-28-16-24-48-40-40-40-56,-405.66819486723506,14.479999374389648,19.44999905395508,3.6381986385345457,4.047124834060669,228438,35721776,0.49215992967851185,0.5187399277680399,0.5078400703214881,0.4812600722319601,82.49999906311035,412.49999531555176,0.43689846992492676,1,True
8-8-12-12-12-24-32-24-16-28-40-32-48-48-64,-428.3193290125191,10.739999574279786,14.249999588012695,31.463935928344725,3.609741921234131,250770,35519104,0.5402732713711398,0.5157967913842104,0.4597267286288602,0.4842032086157896,86.23999886322022,431.1999943161011,2.5474753379821777,1,True
12-12-16-8-12-24-28-28-16-24-40-32-40-40-40,-435.0123717264652,9.499999701690674,15.479999557495118,3.597025801086426,3.6033401191711425,192614,34689424,0.4149786493275939,0.503748450247124,0.5850213506724061,0.496251549752876,87.47999873580933,437.39999367904664,0.4925360679626465,1,True
12-8-16-16-12-16-28-24-20-24-40-32-40-40-56,-433.872218607687,9.759999708557128,15.99999948425293,4.011021939086914,4.149952224731445,208230,36422192,0.4486226554117814,0.5289111394470891,0.5513773445882186,0.4710888605529109,87.21999872894287,436.09999364471435,0.6115729808807373,1,True
12-8-12-12-12-16-32-24-16-28-32-32-40-48-56,-433.5239918107504,9.759999708557128,15.479999530029296,2.7349719329833984,3.62449614982605,212678,33694256,0.4582056817349414,0.4892969465918448,0.5417943182650586,0.5107030534081551,87.21999872894287,436.09999364471435,0.7378208637237549,1,True
16-12-16-8-12-20-32-24-16-20-40-40-40-32-64,-413.66937235643496,13.179999620056153,13.769999487304688,8.367623234558106,4.288568290328979,218538,37841536,0.47083080184593906,0.5495223880042157,0.5291691981540609,0.4504776119957843,83.79999881744385,418.99999408721925,0.7431652545928955,1,True
12-8-8-12-12-16-32-20-16-24-40-32-40-48-64,-431.50374869969005,10.07999980621338,13.83999942779541,2.3672543407440187,3.831983779525757,225734,32035456,0.4863342769856556,0.4652083964542026,0.5136657230143444,0.5347916035457974,86.89999863128662,434.4999931564331,0.5918910503387451,1,True
12-12-16-8-12-16-32-28-16-24-40-32-40-40-64,-405.54332920444773,14.499999627685547,12.929999420166016,14.521803942871093,3.6839336875915527,222022,36164224,0.47833693127711924,0.5251650126675452,0.5216630687228807,0.47483498733245477,82.47999880981445,412.39999404907223,0.8225219249725342,1,True
12-12-16-8-16-20-32-28-16-24-40-40-40-32-64,-429.0482905263547,10.639999563598632,13.499999572753905,3.165707439804077,4.477626092147827,225222,38302336,0.48523119481896093,0.5562139746351691,0.5147688051810391,0.4437860253648309,86.33999887390137,431.69999436950684,0.6423635482788086,1,True
12-12-16-12-12-20-32-28-16-24-48-32-40-40-56,-433.5333435476168,9.899999922180175,16.919999322509767,4.045824679565429,3.7183917457580566,225430,38597168,0.4856793219491807,0.5604954283451892,0.5143206780508194,0.4395045716548108,87.07999851531983,435.3999925765992,0.7771532535552979,1,True
12-8-16-12-12-20-24-24-24-24-48-32-40-32-56,-428.3603260087598,10.639999522399902,17.04999970397949,3.657558917236328,3.905043318939209,207078,34910768,0.44614072053671844,0.5069627352975619,0.5538592794632815,0.49303726470243814,86.3399989151001,431.69999457550045,0.7394149303436279,1,True
12-12-12-12-16-16-28-28-16-28-32-32-40-40-64,-416.59350076025197,12.659999424743653,18.499999578857423,7.224462512207031,4.370599932098389,214518,36790912,0.4621698832715004,0.5342655704856419,0.5378301167284996,0.46573442951435806,84.31999901275634,421.5999950637817,0.5201988220214844,1,True
12-12-16-12-12-16-32-28-16-24-40-40-40-40-56,-429.44664282912476,10.559999404907227,11.719999465942383,2.989485610961914,3.6534472591400147,223110,37896752,0.4806809808813454,0.5503242166661401,0.5193190191186545,0.44967578333385994,86.41999903259277,432.09999516296386,0.5548563003540039,1,True
